lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.025,2025-02-11 05:54:43.152403,,,,,,,,,,,,,,
,2025-02-11 05:54:43.438829,0.022707775235176086,8.388527203351259e-05,0.022707775235176086,49.0,0.0,,,,,,,,,
0.025,2025-02-11 05:54:57.915725,,,,,,,,,,,,,,
,2025-02-11 05:54:59.041384,0.2784143090248108,0.0180362481623888,0.2784143090248108,99.0,0.0,,,,,,,,,
,2025-02-11 05:54:59.746941,,,,,0.0,0.09326864778995514,0.0003185913956258446,0.09326864778995514,0.1298336535692215,0.0005807963316328824,0.1298336535692215,,,
,2025-02-11 05:54:59.757182,,,,,0.0,,,,,,,0.14590458571910858,0.0023100953549146652,0.14590458571910858
0.025,2025-02-11 05:55:14.360020,,,,,,,,,,,,,,
,2025-02-11 05:55:14.646500,0.1356731802225113,0.0007781045860610902,0.1356731802225113,149.0,1.0,,,,,,,,,
0.025,2025-02-11 05:55:29.227555,,,,,,,,,,,,,,
,2025-02-11 05:55:31.188884,0.1061769351363182,0.000365154497558251,0.1061769351363182,199.0,1.0,,,,,,,,,
,2025-02-11 05:55:31.899416,,,,,1.0,0.07789791375398636,0.0003427269111853093,0.07789791375398636,0.16010664403438568,0.0008302791393361986,0.16010664403438568,,,
,2025-02-11 05:55:31.910717,,,,,1.0,,,,,,,0.1420964151620865,0.0037888784427195787,0.1420964151620865
0.025,2025-02-11 05:55:46.439159,,,,,,,,,,,,,,
,2025-02-11 05:55:46.726417,0.06584712117910385,0.00033206731313839555,0.06584712117910385,249.0,2.0,,,,,,,,,
0.025,2025-02-11 05:56:01.180241,,,,,,,,,,,,,,
,2025-02-11 05:56:02.307151,0.10721651464700699,0.0003873649111483246,0.10721651464700699,299.0,2.0,,,,,,,,,
,2025-02-11 05:56:03.006794,,,,,2.0,0.1560928076505661,0.0005662059993483126,0.1560928076505661,0.09213299304246902,0.0006168202380649745,0.09213299304246902,,,
,2025-02-11 05:56:03.365586,,,,,2.0,,,,,,,0.12363933026790619,0.002868102863430977,0.12363933026790619
0.025,2025-02-11 05:56:18.033667,,,,,,,,,,,,,,
,2025-02-11 05:56:18.327040,0.10856743901968002,0.0004287220654077828,0.10856743901968002,349.0,3.0,,,,,,,,,
0.025,2025-02-11 05:56:33.094122,,,,,,,,,,,,,,
,2025-02-11 05:56:35.080837,0.06538083404302597,0.0002368196437601,0.06538083404302597,399.0,3.0,,,,,,,,,
,2025-02-11 05:56:35.778950,,,,,3.0,0.2400219887495041,0.0019933057483285666,0.2400219887495041,0.3334159851074219,0.0051321848295629025,0.3334159851074219,,,
,2025-02-11 05:56:35.790586,,,,,3.0,,,,,,,0.14071190357208252,0.0017423643730580807,0.14071190357208252
0.025,2025-02-11 05:56:50.526701,,,,,,,,,,,,,,
,2025-02-11 05:56:50.818076,0.10584145784378052,0.0004760456213261932,0.10584145784378052,449.0,4.0,,,,,,,,,
0.025,2025-02-11 05:57:05.355080,,,,,,,,,,,,,,
,2025-02-11 05:57:06.498249,0.08819060772657394,0.0004441190685611218,0.08819060772657394,499.0,4.0,,,,,,,,,
,2025-02-11 05:57:07.256848,,,,,4.0,0.1656496822834015,0.0007529580034315586,0.1656496822834015,0.05617283284664154,0.0002270952973049134,0.05617283284664154,,,
,2025-02-11 05:57:07.268571,,,,,4.0,,,,,,,0.12619031965732574,0.0022313822992146015,0.12619031965732574
0.025,2025-02-11 05:58:06.456822,,,,,,,,,,,,,,
,2025-02-11 05:58:06.747049,0.11217935383319855,0.000727156933862716,0.11217935383319855,549.0,5.0,,,,,,,,,
0.025,2025-02-11 05:58:21.500603,,,,,,,,,,,,,,
,2025-02-11 05:58:23.456947,0.060754384845495224,0.00020654981199186295,0.060754384845495224,599.0,5.0,,,,,,,,,
,2025-02-11 05:58:24.173853,,,,,5.0,0.10038851946592331,0.000397935276851058,0.10038851946592331,0.18354135751724243,0.001526044448837638,0.18354135751724243,,,
,2025-02-11 05:58:24.185855,,,,,5.0,,,,,,,0.14215730130672455,0.002697327407076955,0.14215730130672455
0.025,2025-02-11 05:58:38.855036,,,,,,,,,,,,,,
