lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.025,2025-02-11 04:40:17.430603,,,,,,,,,,,,,,
,2025-02-11 04:40:17.708536,0.036335352808237076,0.00013444873911794275,0.036335352808237076,49.0,0.0,,,,,,,,,
0.025,2025-02-11 04:40:31.544743,,,,,,,,,,,,,,
,2025-02-11 04:40:31.822259,0.32567188143730164,0.01959138922393322,0.32567188143730164,99.0,0.0,,,,,,,,,
,2025-02-11 04:40:32.548757,,,,,0.0,0.1222197636961937,0.00041720742592588067,0.1222197636961937,0.17361687123775482,0.0007767196511849761,0.17361687123775482,,,
,2025-02-11 04:40:32.559193,,,,,0.0,,,,,,,0.1889537274837494,0.002699847798794508,0.1889537274837494
0.025,2025-02-11 04:40:46.605880,,,,,,,,,,,,,,
,2025-02-11 04:40:46.885082,0.1765855997800827,0.0010133124887943268,0.1765855997800827,149.0,1.0,,,,,,,,,
0.025,2025-02-11 04:41:00.799560,,,,,,,,,,,,,,
,2025-02-11 04:41:01.084500,0.15143759548664093,0.0005220888997428119,0.15143759548664093,199.0,1.0,,,,,,,,,
,2025-02-11 04:41:01.832483,,,,,1.0,0.11278761923313141,0.000488914200104773,0.11278761923313141,0.2208113670349121,0.0011555381352081895,0.2208113670349121,,,
,2025-02-11 04:41:01.843190,,,,,1.0,,,,,,,0.18425118923187256,0.004147047642618418,0.18425118923187256
0.025,2025-02-11 04:41:15.907791,,,,,,,,,,,,,,
,2025-02-11 04:41:16.187701,0.08824930340051651,0.00044557100045494735,0.08824930340051651,249.0,2.0,,,,,,,,,
0.025,2025-02-11 04:41:30.186742,,,,,,,,,,,,,,
,2025-02-11 04:41:30.467997,0.14265291392803192,0.0005147298215888441,0.14265291392803192,299.0,2.0,,,,,,,,,
,2025-02-11 04:41:31.194371,,,,,2.0,0.2153012752532959,0.0007809029775671661,0.2153012752532959,0.12037431448698044,0.0008033749763853848,0.12037431448698044,,,
,2025-02-11 04:41:31.205040,,,,,2.0,,,,,,,0.16129998862743378,0.003154054516926408,0.16129998862743378
0.025,2025-02-11 04:41:45.289327,,,,,,,,,,,,,,
,2025-02-11 04:41:45.574637,0.1445806473493576,0.0005736012826673687,0.1445806473493576,349.0,3.0,,,,,,,,,
0.025,2025-02-11 04:41:59.580395,,,,,,,,,,,,,,
,2025-02-11 04:41:59.865136,0.0940115824341774,0.00034074042923748493,0.0940115824341774,399.0,3.0,,,,,,,,,
,2025-02-11 04:42:00.609672,,,,,3.0,0.3350689113140106,0.0027673274744302034,0.3350689113140106,0.4223584234714508,0.00633848225697875,0.4223584234714508,,,
,2025-02-11 04:42:00.620572,,,,,3.0,,,,,,,0.18331080675125122,0.002089764690026641,0.18331080675125122
0.025,2025-02-11 04:42:14.915713,,,,,,,,,,,,,,
,2025-02-11 04:42:15.196495,0.14342868328094482,0.0006436625844798982,0.14342868328094482,449.0,4.0,,,,,,,,,
0.025,2025-02-11 04:42:29.185543,,,,,,,,,,,,,,
,2025-02-11 04:42:31.010149,0.13372449576854706,0.0006682184175588191,0.13372449576854706,499.0,4.0,,,,,,,,,
,2025-02-11 04:42:31.745170,,,,,4.0,0.22559911012649536,0.0010166148422285914,0.22559911012649536,0.07147915661334991,0.00028974932502023876,0.07147915661334991,,,
,2025-02-11 04:42:31.756362,,,,,4.0,,,,,,,0.16539320349693298,0.0025311927311122417,0.16539320349693298
0.025,2025-02-11 04:43:29.479761,,,,,,,,,,,,,,
