lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2025-02-11 06:00:30.014238,0.20224907994270325,0.002442056778818369,0.20224907994270325,949.0,9.0,,,,,,,,,
0.025,2025-02-11 06:00:44.063048,,,,,,,,,,,,,,
,2025-02-11 06:00:45.172258,0.18027551472187042,0.0007769634248688817,0.18027551472187042,999.0,9.0,,,,,,,,,
,2025-02-11 06:00:45.878870,,,,,9.0,0.1369505673646927,0.0007860472542233765,0.1369505673646927,0.29612064361572266,0.0025288567412644625,0.29612064361572266,,,
,2025-02-11 06:00:45.890308,,,,,9.0,,,,,,,0.1365780383348465,0.0023088399320840836,0.1365780383348465
0.025,2025-02-11 06:01:40.430567,,,,,,,,,,,,,,
,2025-02-11 06:01:40.719197,0.20990340411663055,0.01878591999411583,0.20990340411663055,1049.0,10.0,,,,,,,,,
0.025,2025-02-11 06:01:54.973931,,,,,,,,,,,,,,
,2025-02-11 06:01:56.089505,0.060018062591552734,0.00021616449521388859,0.060018062591552734,1099.0,10.0,,,,,,,,,
,2025-02-11 06:01:56.798519,,,,,10.0,0.07658305764198303,0.00032005953835323453,0.07658305764198303,0.3280651271343231,0.0961628183722496,0.3280651271343231,,,
,2025-02-11 06:01:56.811236,,,,,10.0,,,,,,,0.14365041255950928,0.004757713992148638,0.14365041255950928
0.025,2025-02-11 06:02:11.165743,,,,,,,,,,,,,,
,2025-02-11 06:02:11.450568,0.1678282767534256,0.0008734543225727975,0.1678282767534256,1149.0,11.0,,,,,,,,,
0.025,2025-02-11 06:02:25.644565,,,,,,,,,,,,,,
,2025-02-11 06:02:26.759405,0.15749241411685944,0.0011240307940170169,0.15749241411685944,1199.0,11.0,,,,,,,,,
,2025-02-11 06:02:27.471469,,,,,11.0,0.07990322262048721,0.0002877986989915371,0.07990322262048721,0.07679306715726852,0.00025753534282557666,0.07679306715726852,,,
,2025-02-11 06:02:27.484576,,,,,11.0,,,,,,,0.14118173718452454,0.0017557954415678978,0.14118173718452454
0.025,2025-02-11 06:02:42.253803,,,,,,,,,,,,,,
,2025-02-11 06:02:42.539834,0.05499757081270218,0.00020697216677945107,0.05499757081270218,1249.0,12.0,,,,,,,,,
0.025,2025-02-11 06:02:56.733483,,,,,,,,,,,,,,
,2025-02-11 06:02:57.861894,0.2139727622270584,0.0015341914258897305,0.2139727622270584,1299.0,12.0,,,,,,,,,
,2025-02-11 06:02:58.585695,,,,,12.0,0.03069835901260376,0.00010595996718620881,0.03069835901260376,0.06246938928961754,0.000224987932597287,0.06246938928961754,,,
,2025-02-11 06:02:58.604072,,,,,12.0,,,,,,,0.14579592645168304,0.0024130225647240877,0.14579592645168304
0.025,2025-02-11 06:03:13.086837,,,,,,,,,,,,,,
,2025-02-11 06:03:13.371669,0.3057780861854553,0.0018345445860177279,0.3057780861854553,1349.0,13.0,,,,,,,,,
0.025,2025-02-11 06:03:27.614819,,,,,,,,,,,,,,
,2025-02-11 06:03:28.735488,0.03225041180849075,0.0001155244535766542,0.03225041180849075,1399.0,13.0,,,,,,,,,
,2025-02-11 06:03:29.447259,,,,,13.0,0.17067089676856995,0.000896632787771523,0.17067089676856995,0.023156864568591118,8.180402801372111e-05,0.023156864568591118,,,
,2025-02-11 06:03:29.460428,,,,,13.0,,,,,,,0.14382138848304749,0.0032387550454586744,0.14382138848304749
0.025,2025-02-11 06:03:43.958048,,,,,,,,,,,,,,
,2025-02-11 06:03:44.245018,0.05147272348403931,0.00018374672799836844,0.05147272348403931,1449.0,14.0,,,,,,,,,
0.025,2025-02-11 06:03:58.418600,,,,,,,,,,,,,,
,2025-02-11 06:04:00.353264,0.03856963664293289,0.0001342581817880273,0.03856963664293289,1499.0,14.0,,,,,,,,,
,2025-02-11 06:04:01.048125,,,,,14.0,0.17228828370571136,0.0008459998643957078,0.17228828370571136,0.24643221497535706,0.004327245056629181,0.24643221497535706,,,
,2025-02-11 06:04:01.174806,,,,,14.0,,,,,,,0.14595277607440948,0.0015685794642195106,0.14595277607440948
0.025,2025-02-11 06:04:55.682234,,,,,,,,,,,,,,
,2025-02-11 06:04:55.967483,0.10855966061353683,0.0005081117269583046,0.10855966061353683,1549.0,15.0,,,,,,,,,
0.025,2025-02-11 06:05:10.221070,,,,,,,,,,,,,,
,2025-02-11 06:05:11.341745,0.2901642322540283,0.0033276171889156103,0.2901642322540283,1599.0,15.0,,,,,,,,,
,2025-02-11 06:05:12.030451,,,,,15.0,0.1928367167711258,0.0009757831576280296,0.1928367167711258,0.2104053497314453,0.0015949587104842067,0.2104053497314453,,,
,2025-02-11 06:05:12.043474,,,,,15.0,,,,,,,0.16137200593948364,0.006198011338710785,0.16137200593948364
0.025,2025-02-11 06:05:26.475705,,,,,,,,,,,,,,
,2025-02-11 06:05:26.761299,0.2899150848388672,0.004289089236408472,0.2899150848388672,1649.0,16.0,,,,,,,,,
0.025,2025-02-11 06:05:41.062782,,,,,,,,,,,,,,
