lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2025-02-11 05:59:45.335748,0.21140353381633759,0.0023638557177037,0.21140353381633759,949.0,9.0,,,,,,,,,
0.025,2025-02-11 06:00:02.014970,,,,,,,,,,,,,,
,2025-02-11 06:00:03.175234,0.19093742966651917,0.0008088359609246254,0.19093742966651917,999.0,9.0,,,,,,,,,
,2025-02-11 06:00:03.836676,,,,,9.0,0.15629510581493378,0.0008816797635518014,0.15629510581493378,0.3186289668083191,0.0025852606631815434,0.3186289668083191,,,
,2025-02-11 06:00:03.848778,,,,,9.0,,,,,,,0.14913350343704224,0.0023888333234936,0.14913350343704224
0.025,2025-02-11 06:01:08.225915,,,,,,,,,,,,,,
,2025-02-11 06:01:08.564580,0.21311064064502716,0.018122775480151176,0.21311064064502716,1049.0,10.0,,,,,,,,,
0.025,2025-02-11 06:01:25.595556,,,,,,,,,,,,,,
,2025-02-11 06:01:26.847456,0.06432937830686569,0.00023111798509489745,0.06432937830686569,1099.0,10.0,,,,,,,,,
,2025-02-11 06:01:27.508595,,,,,10.0,0.10531044006347656,0.0004490942810662091,0.10531044006347656,0.35783812403678894,0.0973302572965622,0.35783812403678894,,,
,2025-02-11 06:01:27.521313,,,,,10.0,,,,,,,0.15791888535022736,0.004835194442421198,0.15791888535022736
0.025,2025-02-11 06:01:44.260136,,,,,,,,,,,,,,
,2025-02-11 06:01:44.589417,0.23137716948986053,0.0012052907841280103,0.23137716948986053,1149.0,11.0,,,,,,,,,
0.025,2025-02-11 06:02:01.656133,,,,,,,,,,,,,,
,2025-02-11 06:02:03.101638,0.1640227735042572,0.001123888767324388,0.1640227735042572,1199.0,11.0,,,,,,,,,
,2025-02-11 06:02:03.789526,,,,,11.0,0.08450613170862198,0.00030349227017723024,0.08450613170862198,0.08909178525209427,0.00030014629010111094,0.08909178525209427,,,
,2025-02-11 06:02:03.802319,,,,,11.0,,,,,,,0.15551762282848358,0.0018424359150230885,0.15551762282848358
0.025,2025-02-11 06:02:20.920655,,,,,,,,,,,,,,
,2025-02-11 06:02:21.246688,0.061801791191101074,0.00023249397054314613,0.061801791191101074,1249.0,12.0,,,,,,,,,
0.025,2025-02-11 06:02:38.156548,,,,,,,,,,,,,,
,2025-02-11 06:02:39.372054,0.20543956756591797,0.001463809865526855,0.20543956756591797,1299.0,12.0,,,,,,,,,
,2025-02-11 06:02:40.069689,,,,,12.0,0.042559511959552765,0.00014585778990294784,0.042559511959552765,0.07439170032739639,0.00026626698672771454,0.07439170032739639,,,
,2025-02-11 06:02:40.081908,,,,,12.0,,,,,,,0.16106894612312317,0.0024799208622425795,0.16106894612312317
0.025,2025-02-11 06:02:57.238732,,,,,,,,,,,,,,
,2025-02-11 06:02:57.553916,0.3013089895248413,0.0017926540458574891,0.3013089895248413,1349.0,13.0,,,,,,,,,
0.025,2025-02-11 06:03:15.028512,,,,,,,,,,,,,,
,2025-02-11 06:03:16.213927,0.04679437726736069,0.00016670164768584073,0.04679437726736069,1399.0,13.0,,,,,,,,,
